timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,accuracy,f1score,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|accuracy,VAR|f1score,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-07 10:40:42.503093,5,True,Compas Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['sex', 'race']",0.6597077244258872,0.69646,0.06154,0.03282,0.0,0.0,0.0,0.0
2023-03-07 10:40:39.748116,5,True,Compas Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['sex', 'race']",0.6722338204592901,0.70544,0.038,0.07363,0.0,0.0,0.0,0.0
2023-03-07 10:40:25.713407,5,True,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",0.6327070285316632,0.6691779999999999,0.126242,0.176264,9.956565933919496e-06,2.889696000000039e-06,0.0004216610959999,0.0005398154239999
2023-03-07 10:40:02.446215,5,True,Compas Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['sex', 'race']",0.6083507306889352,0.654302,0.077036,0.1059739999999999,1.3443301085875792e-05,8.874535999999856e-06,3.705802399999994e-05,0.000222913864
2023-03-07 10:40:00.638227,5,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6534446764091858,0.68441,0.07052,0.08857,0.0,0.0,0.0,0.0
2023-03-07 10:39:58.933068,5,True,Adult Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['race', 'sex']",0.830646399508675,0.69739,0.07677,0.05465,1.232595164407831e-32,0.0,0.0,0.0
2023-03-07 10:39:48.107647,5,True,Adult Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['race', 'sex']",0.8217411331183786,0.68765,0.1073599999999999,0.06599,0.0,0.0,1.9259299443872363e-34,0.0
2023-03-07 10:35:24.138271,5,True,Adult Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",0.8467372946414862,0.6767239999999999,0.12965,0.13256,1.4182267455546138e-06,6.236024000000095e-06,7.278199999999974e-06,5.073360000000016e-06
2023-03-07 10:32:46.710042,5,True,Adult Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['race', 'sex']",0.8219867956394902,0.649538,0.148194,0.13999,2.8854879264606775e-07,8.078560000000493e-07,4.220423999999988e-06,6.204399999999895e-07
2023-03-07 10:32:35.764455,5,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8234300629510211,0.68407,0.12248,0.04198,0.0,0.0,0.0,0.0
2023-03-07 10:27:39.305922,10,True,Compas Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['sex', 'race']",0.6694502435629783,0.6937499999999999,0.03493,0.13042,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0
2023-03-07 10:27:30.359059,10,True,Compas Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['sex', 'race']",0.6847599164926931,0.71275,0.12421,0.19332,0.0,0.0,0.0,0.0
2023-03-07 10:26:29.323107,10,True,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",0.6512874043145441,0.6737839999999999,0.1475759999999999,0.233709,2.038287257581117e-05,1.6005244000000025e-05,0.000299289464,0.000101593609
2023-03-07 10:25:21.952957,10,True,Compas Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['sex', 'race']",0.6179540709812109,0.6406540000000001,0.12351,0.208209,1.2009865523405012e-05,1.1935924000000037e-05,0.00011975724,0.000124438549
2023-03-07 10:25:15.802834,10,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6597077244258872,0.68018,0.15502,0.03139,0.0,0.0,0.0,4.814824860968091e-35
2023-03-07 10:25:11.493480,10,True,Adult Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['race', 'sex']",0.8220482112697681,0.6971499999999999,0.26968,0.14855,0.0,1.232595164407831e-32,3.0814879110195774e-33,0.0
2023-03-07 10:24:50.285281,10,True,Adult Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['race', 'sex']",0.8171349608475357,0.69344,0.16921,0.1052,0.0,0.0,7.703719777548943e-34,0.0
2023-03-07 10:16:33.368188,10,True,Adult Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",0.8410102871180716,0.680234,0.49632,0.315238,3.490167381638257e-06,1.247924399999995e-05,0.0003352678399999,8.351773600000007e-05
2023-03-07 10:08:35.643731,10,True,Adult Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['race', 'sex']",0.8109473360970367,0.6512979999999999,0.383623,0.26968,1.2260966262681967e-06,3.298815999999956e-06,5.460761000000037e-06,3.479260000000013e-06
2023-03-07 10:08:14.731109,10,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8171349608475357,0.6926500000000001,0.20074,0.10458,0.0,1.232595164407831e-32,0.0,0.0
2023-03-07 10:06:51.598947,1,True,Compas Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['sex', 'race']",0.6715379262352122,0.7072,0.10847,0.13203,0.0,0.0,0.0,0.0
2023-03-07 10:06:51.129510,1,True,Compas Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['sex', 'race']",0.6889352818371608,0.72727,0.15372,0.14705,0.0,0.0,0.0,0.0
2023-03-07 10:06:48.226700,1,True,Compas Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",0.6576200417536534,0.6989,0.22191,0.26372,0.0,0.0,0.0,0.0
2023-03-07 10:06:41.871644,1,True,Compas Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['sex', 'race']",0.6297842727905358,0.67282,0.12653,0.14708,0.0,0.0,0.0,0.0
2023-03-07 10:06:41.162979,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.662491301322199,0.69554,0.04753,0.06066,0.0,0.0,0.0,0.0
2023-03-07 10:06:40.313671,1,True,Adult Dataset,FairBalance Bias Mitigation,AdaBoostClassifier,,"['race', 'sex']",0.8245048364808844,0.68099,0.15641,0.09789,0.0,0.0,0.0,0.0
2023-03-07 10:06:36.878984,1,True,Adult Dataset,FairBalance Bias Mitigation,SupportVectorClassifier,,"['race', 'sex']",0.812375249500998,0.67274,0.14211,0.12799,0.0,0.0,0.0,0.0
2023-03-07 10:05:16.762868,1,True,Adult Dataset,FairBalance Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",0.8433901427913404,0.66969,0.3038,0.22365,0.0,0.0,0.0,0.0
2023-03-07 10:04:25.230877,1,True,Adult Dataset,FairBalance Bias Mitigation,DecisionTreeClassifier,,"['race', 'sex']",0.8140641793336404,0.63818,0.28201,0.21407,0.0,0.0,0.0,0.0
2023-03-07 10:04:21.855009,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8122217104253032,0.66539,0.09744,0.07761,0.0,0.0,0.0,0.0
